                     Open      High       Low     Close    Volume    SMA_10       RSI      MACD  Bollinger_Upper  Bollinger_Lower  GDP_Growth  Inflation_Rate  Interest_Rate  Sentiment_Score  Next_Close    Target
Open             1.000000  0.999082  0.999021  0.999633  0.002477  0.315006 -0.005750 -0.000721         0.999385         0.999390    0.000359        0.003998      -0.001359         0.002933    0.999262  0.006489
High             0.999082  1.000000  0.998863  0.999458  0.002501  0.315005 -0.005725 -0.000368         0.999211         0.999215    0.000577        0.003980      -0.001584         0.002638    0.999094  0.006522
Low              0.999021  0.998863  1.000000  0.999395  0.002573  0.314964 -0.005599 -0.000406         0.999150         0.999151    0.000742        0.003893      -0.001888         0.002754    0.999023  0.006425
Close            0.999633  0.999458  0.999395  1.000000  0.002526  0.315233 -0.005739 -0.000497         0.999753         0.999755    0.000449        0.003962      -0.001631         0.002785    0.999632  0.006546
Volume           0.002477  0.002501  0.002573  0.002526  1.000000 -0.003641  0.005277  0.001363         0.002513         0.002632   -0.004882       -0.003218      -0.004183        -0.002501    0.002492 -0.002320
SMA_10           0.315006  0.315005  0.314964  0.315233 -0.003641  1.000000 -0.006498  0.002447         0.315195         0.314900   -0.003374        0.001917       0.002148        -0.001631    0.315051  0.000348
RSI             -0.005750 -0.005725 -0.005599 -0.005739  0.005277 -0.006498  1.000000  0.002729        -0.005731        -0.005758   -0.011378       -0.008012       0.002168        -0.001907   -0.005673  0.002518
MACD            -0.000721 -0.000368 -0.000406 -0.000497  0.001363  0.002447  0.002729  1.000000        -0.000547        -0.000346    0.011114       -0.003070      -0.006093         0.001543   -0.000552 -0.000489
Bollinger_Upper  0.999385  0.999211  0.999150  0.999753  0.002513  0.315195 -0.005731 -0.000547         1.000000         0.999511    0.000495        0.004015      -0.001763         0.002881    0.999381  0.006370
Bollinger_Lower  0.999390  0.999215  0.999151  0.999755  0.002632  0.314900 -0.005758 -0.000346         0.999511         1.000000    0.000295        0.004141      -0.001761         0.002750    0.999387  0.006347
GDP_Growth       0.000359  0.000577  0.000742  0.000449 -0.004882 -0.003374 -0.011378  0.011114         0.000495         0.000295    1.000000       -0.001729      -0.004621         0.000764    0.000361 -0.003538
Inflation_Rate   0.003998  0.003980  0.003893  0.003962 -0.003218  0.001917 -0.008012 -0.003070         0.004015         0.004141   -0.001729        1.000000      -0.003410        -0.002629    0.004148  0.005515
Interest_Rate   -0.001359 -0.001584 -0.001888 -0.001631 -0.004183  0.002148  0.002168 -0.006093        -0.001763        -0.001761   -0.004621       -0.003410       1.000000         0.006275   -0.001676  0.000555
Sentiment_Score  0.002933  0.002638  0.002754  0.002785 -0.002501 -0.001631 -0.001907  0.001543         0.002881         0.002750    0.000764       -0.002629       0.006275         1.000000    0.002771 -0.002106
Next_Close       0.999262  0.999094  0.999023  0.999632  0.002492  0.315051 -0.005673 -0.000552         0.999381         0.999387    0.000361        0.004148      -0.001676         0.002771    1.000000  0.027787
Target           0.006489  0.006522  0.006425  0.006546 -0.002320  0.000348  0.002518 -0.000489         0.006370         0.006347   -0.003538        0.005515       0.000555        -0.002106    0.027787  1.000000
